task,fold,train_start,train_end,test_start,test_end,explained_model,model_role,analysis_scope,feature_kinematics_definition,task_id,target_definition,target_unit,target_status,plot_target,plot_title_target,status,train_rows,train_positive_rows,test_rows,test_positive_rows,feature_count,background_date_count,background_rows,background_start,background_end,background_sample_role,explanation_date_count,explanation_rows,explanation_start,explanation_end,explanation_sample_role,output_scale,n_estimators,learning_rate,minibatch_frac,col_sample,random_seed,legacy_label_scheme,legacy_label_status,v0_estimation_method,v0_train_fraction,v0_fit_observation_start,v0_fit_observation_end,v0_monthly_rate_start,v0_monthly_rate_end,v0_month_window_days,v0_accel_percentile,v0_threshold_artifact
regression,1,2016-08-04,2017-04-02,2017-04-03,2017-11-25,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,evaluated,1936,,1896,,88,12,96,2016-08-04,2017-04-02,deterministic_evenly_spaced_training_dates_all_stations,24,192,2017-04-03,2017-11-25,deterministic_evenly_spaced_holdout_dates_all_stations,target_date_displacement_increment_mm_per_observation_interval,300,0.03,0.8,0.8,0,,,,,,,,,,,
classification,1,2016-08-04,2017-04-02,2017-04-03,2017-11-25,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1,evaluated,1936,247.0,1896,1432.0,88,12,96,2016-08-04,2017-04-02,deterministic_evenly_spaced_training_dates_all_stations,24,192,2017-04-03,2017-11-25,deterministic_evenly_spaced_holdout_dates_all_stations,positive_class_probability,300,0.03,0.8,0.8,0,same_day_station_v0_monthly_rate_level_ge_1,not_formal_five_level_warning,thesis_steady_stage_velocity_statistic,1.0,2016-07-02,2017-04-02,2016-07-31,2017-04-02,30.0,0.9,
regression,2,2016-08-04,2017-11-25,2017-11-26,2018-07-20,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,evaluated,3832,,1896,,88,12,96,2016-08-04,2017-11-25,deterministic_evenly_spaced_training_dates_all_stations,24,192,2017-11-26,2018-07-20,deterministic_evenly_spaced_holdout_dates_all_stations,target_date_displacement_increment_mm_per_observation_interval,300,0.03,0.8,0.8,0,,,,,,,,,,,
classification,2,2016-08-04,2017-11-25,2017-11-26,2018-07-20,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1,single_class_test,3832,260.0,1896,0.0,88,12,96,2016-08-04,2017-11-25,deterministic_evenly_spaced_training_dates_all_stations,24,192,2017-11-26,2018-07-20,deterministic_evenly_spaced_holdout_dates_all_stations,positive_class_probability,300,0.03,0.8,0.8,0,same_day_station_v0_monthly_rate_level_ge_1,not_formal_five_level_warning,thesis_steady_stage_velocity_statistic,1.0,2016-07-02,2017-11-25,2016-07-31,2017-11-25,30.0,0.9,
regression,3,2016-08-04,2018-07-20,2018-07-21,2019-03-14,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,evaluated,5728,,1896,,88,12,96,2016-08-04,2018-07-20,deterministic_evenly_spaced_training_dates_all_stations,24,192,2018-07-21,2019-03-14,deterministic_evenly_spaced_holdout_dates_all_stations,target_date_displacement_increment_mm_per_observation_interval,300,0.03,0.8,0.8,0,,,,,,,,,,,
classification,3,2016-08-04,2018-07-20,2018-07-21,2019-03-14,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1,single_class_test,5728,709.0,1896,0.0,88,12,96,2016-08-04,2018-07-20,deterministic_evenly_spaced_training_dates_all_stations,24,192,2018-07-21,2019-03-14,deterministic_evenly_spaced_holdout_dates_all_stations,positive_class_probability,300,0.03,0.8,0.8,0,same_day_station_v0_monthly_rate_level_ge_1,not_formal_five_level_warning,thesis_steady_stage_velocity_statistic,1.0,2016-07-02,2018-07-20,2016-07-31,2018-07-20,30.0,0.9,
regression,4,2016-08-04,2019-03-14,2019-03-15,2019-11-06,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,evaluated,7624,,1896,,88,12,96,2016-08-04,2019-03-14,deterministic_evenly_spaced_training_dates_all_stations,24,192,2019-03-15,2019-11-06,deterministic_evenly_spaced_holdout_dates_all_stations,target_date_displacement_increment_mm_per_observation_interval,300,0.03,0.8,0.8,0,,,,,,,,,,,
classification,4,2016-08-04,2019-03-14,2019-03-15,2019-11-06,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1,single_class_test,7624,924.0,1896,0.0,88,12,96,2016-08-04,2019-03-14,deterministic_evenly_spaced_training_dates_all_stations,24,192,2019-03-15,2019-11-06,deterministic_evenly_spaced_holdout_dates_all_stations,positive_class_probability,300,0.03,0.8,0.8,0,same_day_station_v0_monthly_rate_level_ge_1,not_formal_five_level_warning,thesis_steady_stage_velocity_statistic,1.0,2016-07-02,2019-03-14,2016-07-31,2019-03-14,30.0,0.9,
regression,5,2016-08-04,2019-11-06,2019-11-07,2020-06-30,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,evaluated,9520,,1896,,88,12,96,2016-08-04,2019-11-06,deterministic_evenly_spaced_training_dates_all_stations,24,192,2019-11-07,2020-06-30,deterministic_evenly_spaced_holdout_dates_all_stations,target_date_displacement_increment_mm_per_observation_interval,300,0.03,0.8,0.8,0,,,,,,,,,,,
classification,5,2016-08-04,2019-11-06,2019-11-07,2020-06-30,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1,evaluated,9520,1123.0,1896,68.0,88,12,96,2016-08-04,2019-11-06,deterministic_evenly_spaced_training_dates_all_stations,24,192,2019-11-07,2020-06-30,deterministic_evenly_spaced_holdout_dates_all_stations,positive_class_probability,300,0.03,0.8,0.8,0,same_day_station_v0_monthly_rate_level_ge_1,not_formal_five_level_warning,thesis_steady_stage_velocity_statistic,1.0,2016-07-02,2019-11-06,2016-07-31,2019-11-06,30.0,0.9,
