fold,fold_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count,status
1,fit,ngboost,all_valid,0,green,0,green,54,reported
1,fit,ngboost,all_valid,0,green,1,blue,2,reported
1,fit,ngboost,all_valid,0,green,2,yellow,0,reported
1,fit,ngboost,all_valid,0,green,3,orange,0,reported
1,fit,ngboost,all_valid,0,green,4,red,0,reported
1,fit,ngboost,all_valid,1,blue,0,green,0,reported
1,fit,ngboost,all_valid,1,blue,1,blue,53,reported
1,fit,ngboost,all_valid,1,blue,2,yellow,3,reported
1,fit,ngboost,all_valid,1,blue,3,orange,0,reported
1,fit,ngboost,all_valid,1,blue,4,red,0,reported
1,fit,ngboost,all_valid,2,yellow,0,green,0,reported
1,fit,ngboost,all_valid,2,yellow,1,blue,1,reported
1,fit,ngboost,all_valid,2,yellow,2,yellow,55,reported
1,fit,ngboost,all_valid,2,yellow,3,orange,0,reported
1,fit,ngboost,all_valid,2,yellow,4,red,0,reported
1,fit,ngboost,all_valid,3,orange,0,green,0,reported
1,fit,ngboost,all_valid,3,orange,1,blue,0,reported
1,fit,ngboost,all_valid,3,orange,2,yellow,1,reported
1,fit,ngboost,all_valid,3,orange,3,orange,55,reported
1,fit,ngboost,all_valid,3,orange,4,red,0,reported
1,fit,ngboost,all_valid,4,red,0,green,0,reported
1,fit,ngboost,all_valid,4,red,1,blue,0,reported
1,fit,ngboost,all_valid,4,red,2,yellow,0,reported
1,fit,ngboost,all_valid,4,red,3,orange,0,reported
1,fit,ngboost,all_valid,4,red,4,red,56,reported
1,fit,ngboost,transition_truth,0,green,0,green,1,reported
1,fit,ngboost,transition_truth,0,green,1,blue,2,reported
1,fit,ngboost,transition_truth,0,green,2,yellow,0,reported
1,fit,ngboost,transition_truth,0,green,3,orange,0,reported
1,fit,ngboost,transition_truth,0,green,4,red,0,reported
1,fit,ngboost,transition_truth,1,blue,0,green,0,reported
1,fit,ngboost,transition_truth,1,blue,1,blue,4,reported
1,fit,ngboost,transition_truth,1,blue,2,yellow,1,reported
1,fit,ngboost,transition_truth,1,blue,3,orange,0,reported
1,fit,ngboost,transition_truth,1,blue,4,red,0,reported
1,fit,ngboost,transition_truth,2,yellow,0,green,0,reported
1,fit,ngboost,transition_truth,2,yellow,1,blue,0,reported
1,fit,ngboost,transition_truth,2,yellow,2,yellow,4,reported
1,fit,ngboost,transition_truth,2,yellow,3,orange,0,reported
1,fit,ngboost,transition_truth,2,yellow,4,red,0,reported
1,fit,ngboost,transition_truth,3,orange,0,green,0,reported
1,fit,ngboost,transition_truth,3,orange,1,blue,0,reported
1,fit,ngboost,transition_truth,3,orange,2,yellow,0,reported
1,fit,ngboost,transition_truth,3,orange,3,orange,3,reported
1,fit,ngboost,transition_truth,3,orange,4,red,0,reported
1,fit,ngboost,transition_truth,4,red,0,green,0,reported
1,fit,ngboost,transition_truth,4,red,1,blue,0,reported
1,fit,ngboost,transition_truth,4,red,2,yellow,0,reported
1,fit,ngboost,transition_truth,4,red,3,orange,0,reported
1,fit,ngboost,transition_truth,4,red,4,red,1,reported
1,fit,multinomial_logistic,all_valid,0,green,0,green,54,reported
1,fit,multinomial_logistic,all_valid,0,green,1,blue,2,reported
1,fit,multinomial_logistic,all_valid,0,green,2,yellow,0,reported
1,fit,multinomial_logistic,all_valid,0,green,3,orange,0,reported
1,fit,multinomial_logistic,all_valid,0,green,4,red,0,reported
1,fit,multinomial_logistic,all_valid,1,blue,0,green,5,reported
1,fit,multinomial_logistic,all_valid,1,blue,1,blue,48,reported
1,fit,multinomial_logistic,all_valid,1,blue,2,yellow,3,reported
1,fit,multinomial_logistic,all_valid,1,blue,3,orange,0,reported
1,fit,multinomial_logistic,all_valid,1,blue,4,red,0,reported
1,fit,multinomial_logistic,all_valid,2,yellow,0,green,0,reported
1,fit,multinomial_logistic,all_valid,2,yellow,1,blue,1,reported
1,fit,multinomial_logistic,all_valid,2,yellow,2,yellow,55,reported
1,fit,multinomial_logistic,all_valid,2,yellow,3,orange,0,reported
1,fit,multinomial_logistic,all_valid,2,yellow,4,red,0,reported
1,fit,multinomial_logistic,all_valid,3,orange,0,green,0,reported
1,fit,multinomial_logistic,all_valid,3,orange,1,blue,0,reported
1,fit,multinomial_logistic,all_valid,3,orange,2,yellow,0,reported
1,fit,multinomial_logistic,all_valid,3,orange,3,orange,56,reported
1,fit,multinomial_logistic,all_valid,3,orange,4,red,0,reported
1,fit,multinomial_logistic,all_valid,4,red,0,green,0,reported
1,fit,multinomial_logistic,all_valid,4,red,1,blue,0,reported
1,fit,multinomial_logistic,all_valid,4,red,2,yellow,0,reported
1,fit,multinomial_logistic,all_valid,4,red,3,orange,1,reported
1,fit,multinomial_logistic,all_valid,4,red,4,red,55,reported
1,fit,multinomial_logistic,transition_truth,0,green,0,green,1,reported
1,fit,multinomial_logistic,transition_truth,0,green,1,blue,2,reported
1,fit,multinomial_logistic,transition_truth,0,green,2,yellow,0,reported
1,fit,multinomial_logistic,transition_truth,0,green,3,orange,0,reported
1,fit,multinomial_logistic,transition_truth,0,green,4,red,0,reported
1,fit,multinomial_logistic,transition_truth,1,blue,0,green,1,reported
